,MWT,MF,PARENT_MWT,SMILES,SUPPLIER_NAME,CATALOG_NUMBER,CAS,CHEMICAL_NAME,MFCD,EMOLECULES_ID,mol,MFC#
35406,196.2,C10H12O4,196.2,COc1ccc(C=O)c(OC)c1OC,InterBioScreen,0,,"2,3,4-trimethoxybenzaldehyde",MFCD00003310,483055,<rdkit.Chem.rdchem.Mol object at 0x0000020EE242E970>,44
35450,196.2,C10H12O4,196.2,COc1cc(C=O)cc(OC)c1OC,InterBioScreen,0,,"3,4,5-trimethoxybenzaldehyde",MFCD00003364,532789,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24314B0>,39
35489,196.2,C10H12O4,196.2,COc1cc(C=O)ccc1OCCO,Crea-Chim,0,,4-(2-hydroxyethoxy)-3-methoxybenzaldehyde,MFCD02256123,838957,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2431E70>,11
35548,196.21,C13H8O2,196.21,O=Cc1cccc2c3ccccc3oc12,Alinda Chemical,0,,"dibenzo[b,d]furan-4-carbaldehyde",MFCD03306027,521717,<rdkit.Chem.rdchem.Mol object at 0x0000020EE2432D70>,21
35569,196.21,C13H8O2,196.21,O=Cc1ccc2oc3ccccc3c2c1,Vitas M Labs,0,,"dibenzo[b,d]furan-2-carbaldehyde",MFCD00136272,724538,<rdkit.Chem.rdchem.Mol object at 0x0000020EE24352F0>,34
35723,196.25,C14H12O,196.25,Cc1ccc(cc1)-c1ccc(C=O)cc1,Chem-Impex,23502,,4?-Methyl-4-formylbiphenyl,MFCD02258938,528602,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243A9F0>,20
35743,196.25,C14H12O,196.25,Cc1ccc(cc1)-c1cccc(C=O)c1,"Combi-Blocks, Inc.",0,,3-(4-Methylphenyl)benzaldehyde,MFCD03424625,528604,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243AEF0>,13
35756,196.25,C14H12O,196.25,Cc1ccccc1-c1ccc(C=O)cc1,ChemBridge,4301965,,2'-methylbiphenyl-4-carbaldehyde,MFCD01631915,812750,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243B270>,20
35776,196.25,C14H12O,196.25,Cc1cccc(c1)-c1ccc(C=O)cc1,Alfa Aesar (US),0,,"3'-Methylbiphenyl-4-carboxaldehyde, 96%",MFCD03424618,812752,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243B770>,27
35803,196.25,C14H12O,196.25,Cc1ccccc1-c1cccc(C=O)c1,Frontier Scientific Services,500020227,,2'-Methyl-Biphenyl-3-Carboxaldehyde,MFCD03424623,812766,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243BE30>,17
35820,196.25,C14H12O,196.25,Cc1cccc(c1)-c1cccc(C=O)c1,"Combi-Blocks, Inc.",0,,3-(3-Methylphenyl)benzaldehyde,MFCD03424624,812768,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243E2B0>,19
35839,196.25,C14H12O,196.25,Cc1ccccc1-c1ccccc1C=O,Alfa Aesar (US),0,,"2'-Methylbiphenyl-2-carboxaldehyde, 98%",MFCD03424630,812972,<rdkit.Chem.rdchem.Mol object at 0x0000020EE243E770>,14
